Idx,Prompt,True,Std
3,"Zbiór Vitaliego jest przykładem zbioru, który jest borelowski, ale nie jest mier...",0,0.5222329678670935
9,"Jeśli zmienne losowe są niezależne, to ich kowariancja wynosi 0. 
Zacznij odpowi...",1,0.5222329678670935
16,"Jeśli funkcja generująca momenty istnieje w otoczeniu zera, to wyznacza ona rozk...",1,0.5222329678670935
14,"MPWL Kołmogorowa (I) zachodzi, jeśli zbieżny jest szereg sumy wariancji dzielony...",1,0.5222329678670935
45,"Centralne Twierdzenie Graniczne zakłada, że sumowane zmienne losowe mogą mieć ni...",0,0.5222329678670935
59,"Funkcje sklejane trzeciego stopnia (splajny) są funkcjami ciągłymi, ale nie posi...",0,0.5222329678670935
57,Kwadratury Newtona-Cotesa opierają się na węzłach rozmieszczonych w równych odst...,1,0.5222329678670935
53,"Metoda Eulera jest uznawana za metodę wysokiego rzędu dokładności, idealną do pr...",0,0.5222329678670935
38,"Metoda Gaussa-Seidela wymaga, aby macierz układu była np. silnie diagonalnie dom...",1,0.5222329678670935
32,"Algorytm numerycznie stabilny to taki, który nie dopuszcza do nadmiernej kumulac...",1,0.5222329678670935
20,Metoda Newtona-Raphsona dla pierwiastków jednokrotnych charakteryzuje się zbieżn...,1,0.5149286505444373
22,"Metoda bisekcji gwarantuje znalezienie pierwiastka w zadanym przedziale, o ile f...",1,0.5149286505444373
42,W schemacie Bernoulliego prawdopodobieństwo sukcesu w każdej próbie musi być tak...,1,0.5149286505444373
37,Wielomian interpolacyjny Lagrange'a dla n+1 węzłów jest zawsze wielomianem stopn...,0,0.5149286505444373
27,"Rozkład LU macierzy istnieje zawsze, nawet jeśli na głównej przekątnej występują...",0,0.5149286505444373
43,"Z twierdzenia Poissona wynika, że rozkład dwumianowy zbiega do normalnego, gdy p...",0,0.5149286505444373
52,Metoda Newtona jest zazwyczaj szybsza w bliskim sąsiedztwie pierwiastka niż meto...,1,0.5149286505444373
46,"Wzór Bayesa pozwala na odwrócenie warunkowania, czyli obliczenie P(A|B) znając P...",1,0.5149286505444373
54,Standard IEEE 754 definiuje wyłącznie reprezentację liczb całkowitych w systemie...,0,0.5149286505444373
55,"Interpolacja polega na znalezieniu funkcji, która w zadanych węzłach przyjmuje o...",1,0.5149286505444373
12,Zbieżność z prawdopodobieństwem 1 implikuje zbieżność według prawdopodobieństwa....,1,0.5149286505444373
13,Zbieżność według prawdopodobieństwa implikuje zbieżność z prawdopodobieństwem 1....,0,0.5149286505444373
6,"Dystrybuanta zmiennej losowej jest funkcją niemalejącą i lewostronnie ciągłą. 
Z...",0,0.5149286505444373
19,"Jeśli wektor losowy (X,Y) ma rozkład normalny i Cov(X,Y)=0, to zmienne X i Y są ...",1,0.5149286505444373
15,"Funkcja charakterystyczna zmiennej losowej istnieje tylko wtedy, gdy zmienna ta ...",0,0.49236596391733095
21,Złożoność obliczeniowa algorytmu eliminacji Gaussa dla układu n równań wynosi O(...,0,0.49236596391733095
4,"Jeśli zdarzenia A, B i C są parami niezależne, to muszą być również wzajemnie ni...",0,0.49236596391733095
2,"Jeśli ciąg zdarzeń jest wstępujący, to prawdopodobieństwo sumy jest granicą praw...",1,0.49236596391733095
49,Sigma-ciało generowane przez rodzinę zbiorów to największe sigma-ciało zawierają...,0,0.49236596391733095
41,"Dystrybuanta zmiennej losowej jest funkcją prawostronnie ciągłą. 
Zacznij odpowi...",1,0.49236596391733095
36,Eliminacja Gaussa pozwala rozwiązać układ równań liniowych ze złożonością oblicz...,1,0.49236596391733095
58,Koszt eliminacji Gaussa dla pełnej macierzy rośnie sześciennie wraz z jej rozmia...,1,0.49236596391733095
5,"Pierwszy Lemat Borela-Cantellego mówi, że jeśli suma prawdopodobieństw zdarzeń j...",1,0.49236596391733095
28,Standard IEEE 754 dotyczy reprezentacji binarnej i operacji na liczbach zmiennop...,1,0.45226701686664544
