prompt	default
Rosja ma większą powierzchnię niż planeta Pluton	1
Kleopatra żyła bliżej czasów lądowania na Księżycu niż budowy Piramid	1
Uniwersytet Oksfordzki jest starszy niż Imperium Azteków	1
Banany z botanicznego punktu widzenia są jagodami, a truskawki nie	1
Na Ziemi jest więcej drzew niż gwiazd w Drodze Mlecznej	1
Suma kątów wewnętrznych w trójkącie (w geometrii euklidesowej) wynosi 180 stopni	1
Liczba 0,999... (z nieskończoną liczbą dziewiątek) jest matematycznie równa 1	1
2 to jedyna parzysta liczba pierwsza	1
Średnica księżyca jest mniejsza niż szerokość australii	1
Banany są truskawkami z botanicznego punktu widzenia	0
Pierwszy komputer klasy eksaskalowej powstał w 2023 roku	0
Suma posiadanych aktywów elona muska jest większa niż roczny produkt krajowy brutto Danii	1
Francja ma najdłuższą granicę lądową z Brazylią	1
Rekiny istniały na Ziemi wcześniej niż drzewa	1
Chmura typu Cumulus może ważyć tyle, co 100 słoni	1
Miód to jedyny produkt spożywczy, który w naturalnych warunkach nigdy się nie psuje	1
Ludzkie DNA jest w 50% identyczne z DNA banana	1
Tyranozaur (T-Rex) żył bliżej czasów współczesnych niż czasów istnienia Stegozaura	1
Kiedy budowano Piramidy w Gizie, na Ziemi wciąż żyły mamuty	1
Pierwszy lot braci Wright i lądowanie na Księżycu dzieli zaledwie 66 lat	1
Nintendo powstało w czasach, gdy Kuba Rozpruwacz wciąż grasował w Londynie (1889 r.)	1
Pustynia Sahara jest największą pustynią na świecie	0
Arabia Saudyjska importuje piasek i wielbłądy z Australii	1
Wielki Mur Chiński jest jedyną budowlą widoczną gołym okiem z Księżyca	0
Dzień na Wenus trwa dłużej niż rok na Wenus	1
Krowy zabijają rocznie więcej ludzi niż rekiny	1
Zimna woda zamarza szybciej niż gorąca (bez specyficznych warunków)	0
Noworodek ma więcej kości niż dorosły człowiek	1
Krew w żyłach jest niebieska, dopóki nie zetknie się z tlenem	0
Diament jest najtwardszym minerałem występującym naturalnie na Ziemi	1
Napoleon Bonaparte był nienaturalnie niski jak na swoje czasy	0
Wikingowie nosili hełmy z rogami podczas bitew	0
Kod kreskowy został wynaleziony wcześniej niż laser	1
Ludzie wykorzystują tylko 10% swojego mózgu	0
Dźwięk rozchodzi się szybciej w wodzie niż w powietrzu	1
Błyskawica nigdy nie uderza dwa razy w to samo miejsce	0
Ośmiornice posiadają trzy serca	1
Ziemniaki przywędrowały do Europy z Ameryki Południowej	1
Antybiotyki zwalczają infekcje wirusowe, takie jak grypa	0
Słońce krąży wokół Ziemi	0
Woda zwiększa swoją objętość, gdy zamarza	1
Nietoperze są całkowicie ślepe	0
Polska graniczy z siedmioma państwami	1
Najwyższym szczytem w Układzie Słonecznym jest Olympus Mons na Marsie	1
Strusie chowają głowę w piasek w sytuacji zagrożenia	0
Złote rybki mają tylko 3-sekundową pamięć	0
Język jest najsilniejszym mięśniem w ciele człowieka	0
Rekiny posiadają szkielet wykonany z kości	0
Szachownica ma 64 pola	1
Mount Everest jest najwyższą górą świata licząc od środka Ziemi	0
Orzeszki ziemne (fistaszki) są orzechami z botanicznego punktu widzenia	0
Biegun południowy jest zimniejszy od bieguna północnego	1
Flamingi rodzą się różowe	0
Czarna skrzynka w samolocie ma kolor pomarańczowy	1
Byki reagują agresją na kolor czerwony	0
Rok świetlny jest jednostką czasu	0
Pomidory z botanicznego punktu widzenia są owocami	1
Wielbłądy magazynują wodę w swoich garbach	0
Wieża Eiffla jest wyższa latem niż zimą	1
Ludzkie serce znajduje się po lewej stronie klatki piersiowej (anatomicznie)	0
Delfiny są rybami	0
Włosy i paznokcie rosną jeszcze przez kilka dni po śmierci	0
Hymnem Polski jest Mazurek Dąbrowskiego	1
Słońce jest gwiazdą	1
Pingwiny żyją na biegunie północnym	0
Szklanka jest płynem w stanie stałym	0
Polska leży na półkuli północnej	1
Bakterie są widoczne gołym okiem	0
Pszczoły umierają po użądleniu człowieka	1
Alaska jest największym stanem USA pod względem powierzchni	1
Titanic zatonął podczas swojego dziewiczego rejsu	1
Krzysztof Kolumb odkrył drogę morską do Indii	0
Koala jest gatunkiem niedźwiedzia	0
Wenecja jest miastem położonym we Włoszech	1
Sherlock Holmes był prawdziwą postacią historyczną	0
Ryż jest głównym składnikiem diety dla ponad połowy ludności świata	1
Pająki są owadami	0
Australia jest zarówno krajem, jak i kontynentem	1
Człowiek posiada 5 zmysłów	0
Morze Martwe jest najniżej położonym punktem na lądzie stałym	1
Papier został wynaleziony w Chinach	1
Kameleon zmienia kolor głównie po to, by wtopić się w otoczenie	0
Albert Einstein oblał matematykę w szkole	0
Ocean Spokojny jest większy niż wszystkie lądy na Ziemi razem wzięte	1
Słowo "sushi" oznacza w języku japońskim "surowa ryba"	0
Krowy posiadają cztery żołądki	1
Ciasteczka z wróżbą są tradycyjnym chińskim wynalazkiem	0
Dźwięk może rozchodzić się w próżni	0
Wenus jest najgorętszą planetą w Układzie Słonecznym	1
Statua Wolności była darem od Francji dla USA	1
Mauna Kea jest wyższa od Mount Everestu mierząc od podstawy do szczytu	1
Ludzie i dinozaury żyli na Ziemi w tym samym czasie	0
Czysta chemicznie woda doskonale przewodzi prąd	0
Krew ośmiornic ma kolor niebieski	1
Rzym jest stolicą Włoch	1
Kilogram ołowiu jest cięższy niż kilogram pierza	0
Rekiny są ssakami	0
